# BulTreeBank Wordnet (BTB-WN)	bul	http://www.bultreebank.org/	CC BY 3.0
00039021-n	bul:exe	8	химическо взаимодействие
00039021-n	bul:lemma	взаимодействие
00039297-n	bul:def	0	Това, което дава възможност за общуване.
00039297-n	bul:exe	0	духовна връзка
00039297-n	bul:exe	1	ежедневна връзка
00039297-n	bul:exe	10	с теб ме свързват само професионални връзки
00039297-n	bul:exe	11	семейни връзки
00039297-n	bul:exe	12	телефонна връзка
00039297-n	bul:exe	13	търговски връзки
00039297-n	bul:exe	14	установявам връзка с някого
00039297-n	bul:exe	2	загубвам всякаква връзка с някого
00039297-n	bul:exe	3	икономически връзки между две страни
00039297-n	bul:exe	4	имам връзка с някого
00039297-n	bul:exe	5	любовна връзка
00039297-n	bul:exe	6	поддържам връзка с някого
00039297-n	bul:exe	7	прекратявам връзката си с някого
00039297-n	bul:exe	8	приятелска връзка
00039297-n	bul:exe	9	роднински връзки
00039297-n	bul:lemma	връзка
00039592-a	bul:def	0	Който не е деен, който не проявява енергия, воля при извършване на някаква дейност.
00039592-a	bul:lemma	бездеен
00039592-a	bul:lemma	безучастен
00039592-a	bul:lemma	пасивен
00042541-n	bul:def	0	Процес на отделяне на бебето от майката.
00042541-n	bul:lemma	раждане
00042757-n	bul:def	0	Тръгване, потегляне за някъде или при някого.
00042757-n	bul:exe	0	дата на заминаване
00042757-n	bul:exe	1	заминаване в чужбина
00042757-n	bul:exe	2	заминаване за Англия
00042757-n	bul:exe	3	заминаване и работа в чужбина
00042757-n	bul:exe	4	заминаване на бригада
00042757-n	bul:exe	5	заминаване от гара София
00042757-n	bul:exe	6	имам трудности със заминаването
00042757-n	bul:exe	7	необходими документи за заминаване
00042757-n	bul:lemma	заминаване
00042757-n	bul:lemma	отпътуване
00044353-a	bul:def	0	Който може да стане, за който съществува вероятност, възможност да се осъществи.
00044353-a	bul:lemma	възможен
00044760-a	bul:def	0	За болест, заболяване - който не е хроничен, който се проявява изведнъж и протича бързо, рязко.
00044760-a	bul:lemma	остър
00045123-a	bul:def	0	Който продължава, трае дълго, съществува постоянно.
00045123-a	bul:lemma	хроничен
00045123-a	bul:lemma	хронически
00045907-n	bul:def	0	Връщане на предишното състояние на нещо или неговото появяване отново.
00045907-n	bul:exe	0	възстановяване на приятелство
00045907-n	bul:exe	1	възстановяване на сграда
00045907-n	bul:exe	2	заповед за възстановяване на владение
00045907-n	bul:lemma	възвръщане
00045907-n	bul:lemma	възстановяване
00047029-a	bul:def	0	Който е  физиологично зависим от нещо, изпитва силно влечение, страст към нещо и не може без него.
00047029-a	bul:lemma	зависим
00047029-a	bul:lemma	пристрастен
00047945-v	bul:def	0	Слагам дреха, облекло на тялото, покривам тялото с дрехи, облекло.
00047945-v	bul:exe	0	Бързо облякох палтото си и изтичах на улицата.
00047945-v	bul:exe	1	обличам блуза
00047945-v	bul:lemma	облека
00047945-v	bul:lemma	обличам
00049900-v	bul:def	0	Свалям, снемам дреха от тялото си.
00049900-v	bul:lemma	разсъблека се
00049900-v	bul:lemma	разсъбличам се
00049900-v	bul:lemma	съблека се
00049900-v	bul:lemma	събличам се
00050037-n	bul:def	0	Отбелязване на някого или нещо в списък, книга, за приемане някъде или за нещо и др.
00050037-n	bul:exe	0	без регистрация
00050037-n	bul:exe	1	записване за екскурзия
00050037-n	bul:exe	2	нова регистрация
00050037-n	bul:exe	3	правила за записване
00050037-n	bul:exe	4	предварителна регистрация
00050037-n	bul:exe	5	регистрация в
00050037-n	bul:exe	6	регистрация на граждански блак
00050037-n	bul:exe	7	регистрация на потребител
00050037-n	bul:exe	8	регистрация на фирма
00050037-n	bul:lemma	записване
00050037-n	bul:lemma	регистрация
00051045-a	bul:def	0	Който е с необходимите качества, който е подходящ за изпълнение на дадена задача.
00051045-a	bul:lemma	адекватен
00051192-n	bul:def	0	Връщане обратно вкъщи, след като съм бил някъде на друго място.
00051192-n	bul:exe	0	връщане в света на музиката
00051192-n	bul:exe	1	връщане от пазар
00051192-n	bul:exe	10	прибиране от чужбина
00051192-n	bul:exe	11	след моето завръщане
00051192-n	bul:exe	2	връщането му в града я зарадва
00051192-n	bul:exe	3	завръщане в миналото
00051192-n	bul:exe	4	завръщане вкъщи
00051192-n	bul:exe	5	завръщане на сцената
00051192-n	bul:exe	6	завръщане от ада
00051192-n	bul:exe	7	завръщане у дома
00051192-n	bul:exe	8	на връщане купи мляко
00051192-n	bul:exe	9	прибиране от работа
00051192-n	bul:lemma	връщане
00051192-n	bul:lemma	завръщане
00051192-n	bul:lemma	прибиране
00051696-a	bul:def	0	Който не задоволява, не отговаря напълно, в необходимата степен на определени изисквания, нужди, потребности.
00051696-a	bul:lemma	недостатъчен
00051696-a	bul:lemma	незадоволителен
00052246-a	bul:def	0	Който не притежава нужните качества за извършване на нещо, не умее да направи нещо или не отговаря на определените изисквания.
00052246-a	bul:lemma	негоден
00052246-a	bul:lemma	некадърен
00052246-a	bul:lemma	неспособен
00052374-v	bul:def	0	Обличам или обувам, употребявам (за облекло, обувки).
00052374-v	bul:exe	0	Дядо ми носеше потури, а баба ми сукман.
00052374-v	bul:lemma	нося
00053097-n	bul:def	0	Разделяне с някого или нещо на тръгване, на заминаване.
00053097-n	bul:exe	0	всяко сбогуване носи много тъга
00053097-n	bul:exe	1	дълго сбогуване
00053097-n	bul:exe	2	на прощаване
00053097-n	bul:exe	3	не обичам сбогуванията
00053097-n	bul:exe	4	сбогуване с морето
00053097-n	bul:exe	5	сбогуване с приятел
00053097-n	bul:exe	6	трудно сбогуване
00053097-n	bul:lemma	прощаване
00053097-n	bul:lemma	сбогуване
00053691-a	bul:def	0	Който притежава лепкавите свойства на лепило, без да има лепило.
00053691-a	bul:lemma	лепкав
00054285-v	bul:def	0	За жена, женско животно - ставам бременна.
00054285-v	bul:lemma	забременявам
00054285-v	bul:lemma	зачевам
00054285-v	bul:lemma	зачена
00056311-n	bul:def	0	Влизане, заселване на чужденци в дадена страна на постоянно местожителство.
00056311-n	bul:exe	0	имиграция в
00056311-n	bul:lemma	имиграция
00056311-n	bul:lemma	преселване
00058743-n	bul:def	0	Тайно напускане на човек от място, което е опасно или неприятно за него.
00058743-n	bul:exe	0	бягство от училище
00058743-n	bul:exe	1	бягството беше осуетено
00058743-n	bul:exe	2	опит за бягство
00058743-n	bul:exe	3	организирам бягство от някъде
00058743-n	bul:exe	4	паническо бягство
00058743-n	bul:exe	5	след бягството си от затвора той се скри.
00058743-n	bul:lemma	бягство
00063014-n	bul:def	0	Най-голямо постижение (в положителен или негативен план) в някаква област.
00063014-n	bul:exe	0	архитектурни рекорди
00063014-n	bul:exe	1	бия всички рекорди
00063014-n	bul:exe	10	температурни рекорди
00063014-n	bul:exe	11	цените на храните чупят световните рекорди
00063014-n	bul:exe	12	ценните метали с нови рекорди в европейската търговия
00063014-n	bul:exe	2	надминавам рекорд
00063014-n	bul:exe	3	подобрявам световен рекорд
00063014-n	bul:exe	4	поставям рекорд
00063014-n	bul:exe	5	постигам рекорд
00063014-n	bul:exe	6	рекорд в добив на нещо
00063014-n	bul:exe	7	рекорди на валутните пазари
00063014-n	bul:exe	8	рекордите на Гинес
00063014-n	bul:exe	9	световен рекорд по
00063014-n	bul:lemma	рекорд
00065575-n	bul:def	0	Успех при взимане на тест или удовлетворяване на изискване.
00065575-n	bul:lemma	минаване
00065575-n	bul:lemma	справяне
00065855-n	bul:def	0	Признаване от страна на университет или колеж на учебен курс, който е успешно завършен; измерва се в семестриални часове.
00065855-n	bul:exe	0	Студентски кредит
00065855-n	bul:lemma	кредит
00066191-v	bul:def	0	Лея, проливам сълзи, като обикновено издавам и нечленоразделни звуци поради болка, скръб, гняв, страх или радост.
00066191-v	bul:exe	0	Спри да плачеш.
00066191-v	bul:exe	1	Стига си плакала.
00066191-v	bul:exe	2	Тя плака до сутринта.
00066191-v	bul:exe	3	Тя плачеше неутешимо.
00066191-v	bul:exe	4	плача за
00066191-v	bul:exe	5	плача от болка
00066191-v	bul:exe	6	плача от радост
00066191-v	bul:exe	7	плача от скръб
00066191-v	bul:exe	8	плача с глас
00066191-v	bul:exe	9	плача сърцераздирателно
00066191-v	bul:lemma	плача
00066191-v	bul:lemma	рева
00069531-a	bul:def	0	Който се отнася до естетика или до усета за хубаво, прекрасно.
00069531-a	bul:lemma	естетичен
